Site, Member, Distance, Distance_Value, Duration, Duration_value
23,75,13.9 mi,1542,26 mins,1542
23,76,11.7 mi,2208,37 mins,2208
23,77,9.0 mi,1514,25 mins,1514
23,78,9.7 mi,1011,17 mins,1011
23,79,16.0 mi,1606,27 mins,1606
23,80,9.1 mi,1655,28 mins,1655
23,81,9.5 mi,1144,19 mins,1144
23,82,18.1 mi,2177,36 mins,2177
23,83,14.8 mi,1663,28 mins,1663
23,84,9.2 mi,1536,26 mins,1536
23,85,13.3 mi,1518,25 mins,1518
23,86,20.0 mi,2134,36 mins,2134
23,87,12.1 mi,2482,41 mins,2482
23,88,7.3 mi,1208,20 mins,1208
23,89,22.7 mi,1793,30 mins,1793
23,90,9.4 mi,1072,18 mins,1072
23,91,17.5 mi,1726,29 mins,1726
23,92,19.3 mi,2091,35 mins,2091
23,93,4.1 mi,920,15 mins,920
23,94,7.1 mi,1009,17 mins,1009
23,95,12.8 mi,1699,28 mins,1699
23,96,12.6 mi,1498,25 mins,1498
23,97,13.5 mi,1835,31 mins,1835
23,98,19.0 mi,1584,26 mins,1584
23,99,10.1 mi,1295,22 mins,1295
23,100,21.1 mi,2291,38 mins,2291
23,101,12.5 mi,1697,28 mins,1697
23,102,10.0 mi,1830,31 mins,1830
23,103,17.5 mi,2008,33 mins,2008
23,104,15.0 mi,2201,37 mins,2201
23,105,10.0 mi,1742,29 mins,1742
23,106,7.8 mi,1064,18 mins,1064
23,107,14.2 mi,1841,31 mins,1841
23,108,11.6 mi,1415,24 mins,1415
23,109,19.6 mi,2373,40 mins,2373
23,110,13.5 mi,2063,34 mins,2063
24,1,8.7 mi,1614,27 mins,1614
24,2,2.0 mi,789,13 mins,789
24,3,13.2 mi,1871,31 mins,1871
24,4,10.5 mi,1346,22 mins,1346
24,5,8.6 mi,1368,23 mins,1368
24,6,7.8 mi,1617,27 mins,1617
24,7,1.8 mi,739,12 mins,739
24,8,7.0 mi,1326,22 mins,1326
24,9,8.1 mi,1170,20 mins,1170
24,10,15.3 mi,2374,40 mins,2374
24,11,35.7 mi,2964,49 mins,2964
24,12,6.6 mi,1168,19 mins,1168
24,13,13.8 mi,2096,35 mins,2096
24,14,20.2 mi,2362,39 mins,2362
24,15,9.2 mi,1749,29 mins,1749
24,16,6.9 mi,1095,18 mins,1095
24,17,10.0 mi,1204,20 mins,1204
24,18,8.3 mi,1164,19 mins,1164
24,19,7.0 mi,909,15 mins,909
24,20,3.6 mi,939,16 mins,939
24,21,10.5 mi,1530,26 mins,1530
24,22,11.6 mi,1478,25 mins,1478
24,23,8.8 mi,1242,21 mins,1242
24,24,7.9 mi,1581,26 mins,1581
24,25,5.6 mi,1184,20 mins,1184
24,26,4.3 mi,824,14 mins,824
24,27,4.2 mi,1363,23 mins,1363
24,28,6.2 mi,1077,18 mins,1077
24,29,10.2 mi,1363,23 mins,1363
24,30,8.9 mi,1805,30 mins,1805
24,31,5.1 mi,1552,26 mins,1552
24,32,8.9 mi,1697,28 mins,1697
24,33,7.8 mi,1435,24 mins,1435
24,34,7.4 mi,1158,19 mins,1158
24,35,8.5 mi,1646,27 mins,1646
24,36,6.9 mi,1207,20 mins,1207
24,37,26.7 mi,2458,41 mins,2458
24,38,8.0 mi,1597,27 mins,1597
24,39,13.2 mi,1913,32 mins,1913
24,40,14.8 mi,1772,30 mins,1772
24,41,25.9 mi,2321,39 mins,2321
24,42,11.7 mi,1413,24 mins,1413
24,43,25.2 mi,2283,38 mins,2283
24,44,7.7 mi,1561,26 mins,1561
24,45,8.5 mi,1601,27 mins,1601
24,46,7.9 mi,1837,31 mins,1837
24,47,9.1 mi,1709,28 mins,1709
24,48,11.2 mi,1601,27 mins,1601
24,49,2.6 mi,961,16 mins,961
24,50,2.4 mi,582,10 mins,582
24,51,5.4 mi,1026,17 mins,1026
24,52,7.7 mi,1263,21 mins,1263
24,53,4.5 mi,998,17 mins,998
24,54,12.6 mi,1745,29 mins,1745
24,55,9.3 mi,1370,23 mins,1370
24,56,16.8 mi,1869,31 mins,1869
24,57,1.7 mi,533,9 mins,533
24,58,7.6 mi,1684,28 mins,1684
24,59,41.6 mi,3119,52 mins,3119
24,60,21.4 mi,2588,43 mins,2588
24,61,22.9 mi,2414,40 mins,2414
24,62,4.8 mi,764,13 mins,764
24,63,7.5 mi,1469,24 mins,1469
24,64,2.4 mi,950,16 mins,950
24,65,12.8 mi,1734,29 mins,1734
24,66,10.1 mi,1430,24 mins,1430
24,67,7.9 mi,1663,28 mins,1663
24,68,10.7 mi,1552,26 mins,1552
24,69,9.3 mi,1370,23 mins,1370
24,70,8.2 mi,1750,29 mins,1750
24,71,9.1 mi,1830,31 mins,1830
24,72,2.8 mi,1035,17 mins,1035
24,73,7.8 mi,1076,18 mins,1076
24,74,6.5 mi,1643,27 mins,1643
24,75,7.5 mi,1190,20 mins,1190
24,76,10.8 mi,1763,29 mins,1763
24,77,8.8 mi,1812,30 mins,1812
24,78,1.1 mi,405,7 mins,405
24,79,15.0 mi,1743,29 mins,1743
24,80,7.7 mi,1571,26 mins,1571
24,81,3.2 mi,792,13 mins,792
24,82,12.6 mi,1745,29 mins,1745
24,83,8.5 mi,1311,22 mins,1311
24,84,9.2 mi,1820,30 mins,1820
24,85,7.9 mi,1143,19 mins,1143
24,86,18.8 mi,2308,38 mins,2308
24,87,13.8 mi,2124,35 mins,2124
24,88,6.1 mi,1438,24 mins,1438
24,89,28.2 mi,2452,41 mins,2452
24,90,0.3 mi,144,2 mins,144
24,91,9.2 mi,1406,23 mins,1406
24,92,15.4 mi,2376,40 mins,2376
24,93,3.1 mi,1128,19 mins,1128
24,94,7.3 mi,1368,23 mins,1368
24,95,7.3 mi,1266,21 mins,1266
24,96,6.3 mi,1147,19 mins,1147
24,97,7.1 mi,1483,25 mins,1483
24,98,27.6 mi,2348,39 mins,2348
24,99,3.8 mi,943,16 mins,943
24,100,15.6 mi,2348,39 mins,2348
24,101,7.2 mi,1322,22 mins,1322
24,102,7.5 mi,1417,24 mins,1417
24,103,11.2 mi,1656,28 mins,1656
24,104,21.8 mi,2784,46 mins,2784
24,105,7.6 mi,1426,24 mins,1426
24,106,6.8 mi,1222,20 mins,1222
24,107,7.8 mi,1490,25 mins,1490
24,108,6.1 mi,983,16 mins,983
24,109,14.0 mi,1941,32 mins,1941
24,110,8.0 mi,1631,27 mins,1631
25,1,7.1 mi,1007,17 mins,1007
25,2,10.9 mi,1656,28 mins,1656
25,3,20.7 mi,2525,42 mins,2525
25,4,1.4 mi,512,9 mins,512
25,5,4.1 mi,893,15 mins,893
25,6,11.9 mi,1935,32 mins,1935
25,7,10.7 mi,1606,27 mins,1606
25,8,11.5 mi,1768,29 mins,1768
25,9,3.6 mi,695,12 mins,695
25,10,22.7 mi,3028,50 mins,3028
25,11,26.7 mi,2183,36 mins,2183
25,12,15.9 mi,2024,34 mins,2024
25,13,21.2 mi,2749,46 mins,2749
25,14,27.2 mi,2942,49 mins,2942
25,15,7.4 mi,1103,18 mins,1103
25,16,12.7 mi,1514,25 mins,1514
25,17,12.7 mi,1577,26 mins,1577
25,18,7.3 mi,1187,20 mins,1187
25,19,16.4 mi,1765,29 mins,1765
25,20,8.7 mi,1395,23 mins,1395
25,21,2.3 mi,864,14 mins,864
25,22,18.6 mi,2059,34 mins,2059
25,23,16.1 mi,1965,33 mins,1965
25,24,5.6 mi,1009,17 mins,1009
25,25,15.0 mi,2040,34 mins,2040
25,26,13.6 mi,1680,28 mins,1680
25,27,13.5 mi,2219,37 mins,2219
25,28,5.3 mi,933,16 mins,933
25,29,2.0 mi,697,12 mins,697
25,30,18.3 mi,2661,44 mins,2661
25,31,17.4 mi,2125,35 mins,2125
25,32,7.1 mi,995,17 mins,995
25,33,17.1 mi,2291,38 mins,2291
25,34,7.0 mi,1095,18 mins,1095
25,35,17.8 mi,2503,42 mins,2503
25,36,4.9 mi,940,16 mins,940
25,37,17.6 mi,1774,30 mins,1774
25,38,17.3 mi,2454,41 mins,2454
25,39,20.6 mi,2567,43 mins,2567
25,40,21.8 mi,2353,39 mins,2353
25,41,26.6 mi,2525,42 mins,2525
25,42,16.5 mi,1877,31 mins,1877
25,43,25.9 mi,2487,41 mins,2487
25,44,11.8 mi,1850,31 mins,1850
25,45,17.9 mi,2457,41 mins,2457
25,46,6.6 mi,1164,19 mins,1164
25,47,7.5 mi,1102,18 mins,1102
25,48,1.3 mi,427,7 mins,427
25,49,8.9 mi,1422,24 mins,1422
25,50,8.6 mi,1318,22 mins,1318
25,51,10.8 mi,1798,30 mins,1798
25,52,7.2 mi,1199,20 mins,1199
25,53,13.9 mi,1854,31 mins,1854
25,54,20.1 mi,2398,40 mins,2398
25,55,2.0 mi,743,12 mins,743
25,56,10.7 mi,1442,24 mins,1442
25,57,11.1 mi,1389,23 mins,1389
25,58,9.6 mi,1335,22 mins,1335
25,59,42.8 mi,3381,56 mins,3381
25,60,28.5 mi,3169,53 mins,3169
25,61,29.9 mi,2995,50 mins,2995
25,62,14.1 mi,1620,27 mins,1620
25,63,16.8 mi,2326,39 mins,2326
25,64,8.6 mi,1358,23 mins,1358
25,65,6.4 mi,1156,19 mins,1156
25,66,5.8 mi,1190,20 mins,1190
25,67,5.3 mi,954,16 mins,954
25,68,16.4 mi,2148,36 mins,2148
25,69,2.0 mi,743,12 mins,743
25,70,12.3 mi,2068,34 mins,2068
25,71,21.2 mi,2717,45 mins,2717
25,72,14.3 mi,1752,29 mins,1752
25,73,3.7 mi,733,12 mins,733
25,74,19.5 mi,2386,40 mins,2386
25,75,7.1 mi,1126,19 mins,1126
25,76,18.3 mi,2408,40 mins,2408
25,77,18.2 mi,2668,44 mins,2668
25,78,10.5 mi,1261,21 mins,1261
25,79,10.3 mi,1515,25 mins,1515
25,80,17.0 mi,2427,40 mins,2427
25,81,8.4 mi,1318,22 mins,1318
25,82,20.1 mi,2398,40 mins,2398
25,83,4.0 mi,836,14 mins,836
25,84,18.5 mi,2676,45 mins,2676
25,85,7.7 mi,1315,22 mins,1315
25,86,26.2 mi,2961,49 mins,2961
25,87,21.3 mi,2778,46 mins,2778
25,88,15.4 mi,2294,38 mins,2294
25,89,30.0 mi,2710,45 mins,2710
25,90,9.9 mi,1293,22 mins,1293
25,91,2.0 mi,755,13 mins,755
25,92,22.9 mi,3030,51 mins,3030
25,93,15.8 mi,1903,32 mins,1903
25,94,12.7 mi,1664,28 mins,1664
25,95,12.3 mi,1601,27 mins,1601
25,96,5.1 mi,923,15 mins,923
25,97,6.1 mi,1136,19 mins,1136
25,98,28.3 mi,2553,43 mins,2553
25,99,8.6 mi,1394,23 mins,1394
25,100,23.1 mi,3002,50 mins,3002
25,101,11.3 mi,1638,27 mins,1638
25,102,16.9 mi,2273,38 mins,2273
25,103,2.1 mi,822,14 mins,822
25,104,28.8 mi,3364,56 mins,3364
25,105,17.0 mi,2283,38 mins,2283
25,106,10.3 mi,1635,27 mins,1635
25,107,5.3 mi,851,14 mins,851
25,108,15.4 mi,1839,31 mins,1839
25,109,21.5 mi,2594,43 mins,2594
25,110,12.5 mi,2143,36 mins,2143
26,1,24.3 mi,2984,50 mins,2984
26,2,18.4 mi,2348,39 mins,2348
26,3,4.5 mi,1659,28 mins,1659
26,4,26.1 mi,2716,45 mins,2716
26,5,24.2 mi,2738,46 mins,2738
26,6,9.7 mi,2955,49 mins,2955
26,7,19.7 mi,2414,40 mins,2414
26,8,21.6 mi,2718,45 mins,2718
26,9,23.6 mi,2540,42 mins,2540
26,10,5.0 mi,1621,27 mins,1621
26,11,48.5 mi,4027,1 hour 7 mins,4027
26,12,6.4 mi,1857,31 mins,1857
26,13,3.1 mi,1068,18 mins,1068
26,14,0.7 mi,231,4 mins,231
26,15,30.0 mi,3119,52 mins,3119
26,16,8.6 mi,2567,43 mins,2567
26,17,19.0 mi,1941,32 mins,1941
26,18,22.9 mi,2557,43 mins,2557
26,19,7.0 mi,2075,35 mins,2075
26,20,19.2 mi,2309,38 mins,2309
26,21,25.5 mi,2872,48 mins,2872
26,22,9.0 mi,1436,24 mins,1436
26,23,7.1 mi,2141,36 mins,2141
26,24,23.5 mi,2951,49 mins,2951
26,25,6.3 mi,1921,32 mins,1921
26,26,18.9 mi,2233,37 mins,2233
26,27,5.9 mi,1763,29 mins,1763
26,28,21.8 mi,2446,41 mins,2446
26,29,25.8 mi,2733,46 mins,2733
26,30,2.9 mi,989,16 mins,989
26,31,7.2 mi,1283,21 mins,1283
26,32,29.7 mi,3011,50 mins,3011
26,33,4.4 mi,1203,20 mins,1203
26,34,23.0 mi,2528,42 mins,2528
26,35,4.1 mi,1129,19 mins,1129
26,36,22.5 mi,2576,43 mins,2576
26,37,34.6 mi,3248,54 mins,3248
26,38,4.4 mi,1320,22 mins,1320
26,39,3.5 mi,1243,21 mins,1243
26,40,10.6 mi,1478,25 mins,1478
26,41,20.4 mi,2051,34 mins,2051
26,42,12.2 mi,2006,33 mins,2006
26,43,19.7 mi,2013,34 mins,2013
26,44,24.8 mi,3063,51 mins,3063
26,45,5.7 mi,1659,28 mins,1659
26,46,23.5 mi,3207,53 mins,3207
26,47,24.7 mi,3079,51 mins,3079
26,48,26.8 mi,2970,50 mins,2970
26,49,19.2 mi,2310,39 mins,2310
26,50,18.0 mi,2038,34 mins,2038
26,51,20.0 mi,2418,40 mins,2418
26,52,23.3 mi,2632,44 mins,2632
26,53,6.6 mi,2106,35 mins,2106
26,54,4.5 mi,1694,28 mins,1694
26,55,24.9 mi,2659,44 mins,2659
26,56,26.1 mi,2730,46 mins,2730
26,57,17.5 mi,2127,35 mins,2127
26,58,22.2 mi,3076,51 mins,3076
26,59,36.6 mi,2907,48 mins,2907
26,60,12.1 mi,1792,30 mins,1792
26,61,2.3 mi,690,12 mins,690
26,62,19.4 mi,2157,36 mins,2157
26,63,5.3 mi,1465,24 mins,1465
26,64,19.0 mi,2234,37 mins,2234
26,65,25.0 mi,2788,46 mins,2788
26,66,20.5 mi,2318,39 mins,2318
26,67,27.9 mi,2970,50 mins,2970
26,68,7.2 mi,1308,22 mins,1308
26,69,24.9 mi,2659,44 mins,2659
26,70,23.7 mi,2893,48 mins,2893
26,71,3.3 mi,964,16 mins,964
26,72,13.2 mi,1803,30 mins,1803
26,73,23.4 mi,2446,41 mins,2446
26,74,5.6 mi,1609,27 mins,1609
26,75,23.1 mi,2560,43 mins,2560
26,76,6.1 mi,1706,28 mins,1706
26,77,3.4 mi,1013,17 mins,1013
26,78,18.9 mi,2029,34 mins,2029
26,79,24.6 mi,2635,44 mins,2635
26,80,5.0 mi,1494,25 mins,1494
26,81,18.8 mi,2162,36 mins,2162
26,82,4.5 mi,1694,28 mins,1694
26,83,24.0 mi,2680,45 mins,2680
26,84,2.6 mi,949,16 mins,949
26,85,22.5 mi,2536,42 mins,2536
26,86,10.9 mi,1537,26 mins,1537
26,87,3.0 mi,1155,19 mins,1155
26,88,5.6 mi,1683,28 mins,1683
26,89,32.3 mi,2829,47 mins,2829
26,90,18.6 mi,2090,35 mins,2090
26,91,24.9 mi,2671,45 mins,2671
26,92,10.2 mi,1493,25 mins,1493
26,93,8.1 mi,1756,29 mins,1756
26,94,16.7 mi,2241,37 mins,2241
26,95,24.9 mi,2618,44 mins,2618
26,96,21.9 mi,2516,42 mins,2516
26,97,22.7 mi,2853,48 mins,2853
26,98,22.1 mi,2079,35 mins,2079
26,99,19.4 mi,2312,39 mins,2312
26,100,12.0 mi,1693,28 mins,1693
26,101,25.1 mi,2723,45 mins,2723
26,102,5.0 mi,1527,25 mins,1527
26,103,26.7 mi,3026,50 mins,3026
26,104,12.5 mi,2016,34 mins,2016
26,105,4.8 mi,1345,22 mins,1345
26,106,16.1 mi,2095,35 mins,2095
26,107,27.9 mi,2867,48 mins,2867
26,108,6.1 mi,1785,30 mins,1785
26,109,13.9 mi,1875,31 mins,1875
26,110,9.7 mi,2922,49 mins,2922
27,1,10.8 mi,1931,32 mins,1931
27,2,6.4 mi,1409,23 mins,1409
27,3,5.6 mi,1300,22 mins,1300
27,4,15.3 mi,1949,32 mins,1949
27,5,12.9 mi,1973,33 mins,1973
27,6,3.8 mi,1346,22 mins,1346
27,7,6.8 mi,1526,25 mins,1526
27,8,6.5 mi,1352,23 mins,1352
27,9,13.6 mi,1808,30 mins,1808
27,10,7.7 mi,1802,30 mins,1802
27,11,42.2 mi,3695,1 hour 2 mins,3695
27,12,1.2 mi,603,10 mins,603
27,13,4.4 mi,1552,26 mins,1552
27,14,6.8 mi,2060,34 mins,2060
27,15,10.3 mi,1958,33 mins,1958
27,16,3.1 mi,957,16 mins,957
27,17,14.3 mi,1895,32 mins,1895
27,18,8.4 mi,1221,20 mins,1221
27,19,0.8 mi,501,8 mins,501
27,20,10.6 mi,1810,30 mins,1810
27,21,15.6 mi,2088,35 mins,2088
27,22,16.3 mi,2285,38 mins,2285
27,23,0.7 mi,462,8 mins,462
27,24,13.0 mi,2139,36 mins,2139
27,25,5.8 mi,1492,25 mins,1492
27,26,4.5 mi,1037,17 mins,1037
27,27,6.7 mi,1786,30 mins,1786
27,28,12.7 mi,1807,30 mins,1807
27,29,15.3 mi,1921,32 mins,1921
27,30,3.5 mi,1253,21 mins,1253
27,31,11.7 mi,2073,35 mins,2073
27,32,10.9 mi,2013,34 mins,2013
27,33,2.7 mi,932,16 mins,932
27,34,9.5 mi,1475,25 mins,1475
27,35,3.0 mi,1094,18 mins,1094
27,36,12.0 mi,1764,29 mins,1764
27,37,33.2 mi,3188,53 mins,3188
27,38,3.4 mi,1278,21 mins,1278
27,39,5.5 mi,1342,22 mins,1342
27,40,19.4 mi,2579,43 mins,2579
27,41,29.2 mi,2991,50 mins,2991
27,42,16.0 mi,2239,37 mins,2239
27,43,28.5 mi,2953,49 mins,2953
27,44,4.7 mi,1544,26 mins,1544
27,45,1.4 mi,784,13 mins,784
27,46,11.7 mi,2236,37 mins,2236
27,47,10.4 mi,1988,33 mins,1988
27,48,17.7 mi,2331,39 mins,2331
27,49,7.4 mi,1699,28 mins,1699
27,50,9.3 mi,1453,24 mins,1453
27,51,6.3 mi,1489,25 mins,1489
27,52,9.3 mi,1402,23 mins,1402
27,53,3.8 mi,1025,17 mins,1025
27,54,5.0 mi,1173,20 mins,1173
27,55,14.4 mi,1928,32 mins,1928
27,56,23.7 mi,2663,44 mins,2663
27,57,6.7 mi,1365,23 mins,1365
27,58,8.0 mi,1887,31 mins,1887
27,59,45.9 mi,3810,1 hour 4 mins,3810
27,60,23.9 mi,2842,47 mins,2842
27,61,7.2 mi,2310,39 mins,2310
27,62,5.8 mi,1317,22 mins,1317
27,63,1.8 mi,740,12 mins,740
27,64,10.0 mi,1731,29 mins,1731
27,65,19.3 mi,2464,41 mins,2464
27,66,16.6 mi,2160,36 mins,2160
27,67,13.1 mi,2220,37 mins,2220
27,68,12.1 mi,2187,36 mins,2187
27,69,14.4 mi,1928,32 mins,1928
27,70,3.9 mi,1449,24 mins,1449
27,71,3.7 mi,1277,21 mins,1277
27,72,9.6 mi,1732,29 mins,1732
27,73,13.0 mi,1634,27 mins,1634
27,74,4.8 mi,1982,33 mins,1982
27,75,9.3 mi,1416,24 mins,1416
27,76,2.0 mi,957,16 mins,957
27,77,3.8 mi,1297,22 mins,1297
27,78,7.1 mi,1284,21 mins,1284
27,79,21.5 mi,2474,41 mins,2474
27,80,3.0 mi,1326,22 mins,1326
27,81,10.2 mi,1663,28 mins,1663
27,82,5.0 mi,1173,20 mins,1173
27,83,14.0 mi,1949,32 mins,1949
27,84,3.7 mi,1267,21 mins,1267
27,85,8.0 mi,1200,20 mins,1200
27,86,11.1 mi,1736,29 mins,1736
27,87,4.6 mi,1595,27 mins,1595
27,88,6.3 mi,1746,29 mins,1746
27,89,32.5 mi,3144,52 mins,3144
27,90,7.9 mi,1410,24 mins,1410
27,91,14.3 mi,1963,33 mins,1963
27,92,7.8 mi,1804,30 mins,1804
27,93,9.7 mi,1644,27 mins,1644
27,94,14.3 mi,2239,37 mins,2239
27,95,4.7 mi,999,17 mins,999
27,96,12.2 mi,1712,29 mins,1712
27,97,11.7 mi,1970,33 mins,1970
27,98,30.8 mi,3019,50 mins,3019
27,99,10.8 mi,1814,30 mins,1814
27,100,8.0 mi,1776,30 mins,1776
27,101,5.0 mi,1105,18 mins,1105
27,102,2.9 mi,1178,20 mins,1178
27,103,16.1 mi,2293,38 mins,2293
27,104,24.3 mi,3066,51 mins,3066
27,105,2.6 mi,923,15 mins,923
27,106,13.8 mi,2093,35 mins,2093
27,107,13.0 mi,2047,34 mins,2047
27,108,1.9 mi,838,14 mins,838
27,109,6.4 mi,1369,23 mins,1369
27,110,3.4 mi,1340,22 mins,1340
28,1,15.0 mi,2042,34 mins,2042
28,2,9.1 mi,1405,23 mins,1405
28,3,18.7 mi,2379,40 mins,2379
28,4,16.8 mi,1774,30 mins,1774
28,5,14.9 mi,1796,30 mins,1796
28,6,13.1 mi,2068,34 mins,2068
28,7,10.4 mi,1472,25 mins,1472
28,8,12.3 mi,1776,30 mins,1776
28,9,14.3 mi,1598,27 mins,1598
28,10,20.0 mi,2282,38 mins,2282
28,11,39.2 mi,3085,51 mins,3085
28,12,12.1 mi,1676,28 mins,1676
28,13,10.2 mi,2348,39 mins,2348
28,14,12.0 mi,1690,28 mins,1690
28,15,20.7 mi,2177,36 mins,2177
28,16,12.3 mi,1603,27 mins,1603
28,17,8.3 mi,1048,17 mins,1048
28,18,13.6 mi,1615,27 mins,1615
28,19,12.5 mi,1417,24 mins,1417
28,20,9.9 mi,1366,23 mins,1366
28,21,16.2 mi,1930,32 mins,1930
28,22,3.4 mi,806,13 mins,806
28,23,14.3 mi,1750,29 mins,1750
28,24,14.2 mi,2009,33 mins,2009
28,25,5.1 mi,1453,24 mins,1453
28,26,9.6 mi,1290,22 mins,1290
28,27,5.7 mi,1193,20 mins,1193
28,28,12.5 mi,1504,25 mins,1504
28,29,16.5 mi,1791,30 mins,1791
28,30,8.1 mi,1614,27 mins,1614
28,31,1.5 mi,543,9 mins,543
28,32,20.4 mi,2069,34 mins,2069
28,33,8.6 mi,1680,28 mins,1680
28,34,13.7 mi,1586,26 mins,1586
28,35,8.2 mi,1606,27 mins,1606
28,36,13.2 mi,1634,27 mins,1634
28,37,25.3 mi,2306,38 mins,2306
28,38,8.0 mi,1599,27 mins,1599
28,39,10.6 mi,2418,40 mins,2418
28,40,6.6 mi,1100,18 mins,1100
28,41,16.4 mi,1674,28 mins,1674
28,42,3.1 mi,1097,18 mins,1097
28,43,15.7 mi,1636,27 mins,1636
28,44,13.0 mi,2011,34 mins,2011
28,45,9.9 mi,2136,36 mins,2136
28,46,14.2 mi,2264,38 mins,2264
28,47,15.4 mi,2137,36 mins,2137
28,48,17.5 mi,2028,34 mins,2028
28,49,9.9 mi,1368,23 mins,1368
28,50,8.7 mi,1096,18 mins,1096
28,51,10.7 mi,1476,25 mins,1476
28,52,14.0 mi,1690,28 mins,1690
28,53,10.0 mi,1506,25 mins,1506
28,54,18.1 mi,2253,38 mins,2253
28,55,15.6 mi,1717,29 mins,1717
28,56,16.8 mi,1788,30 mins,1788
28,57,8.2 mi,1185,20 mins,1185
28,58,12.9 mi,2134,36 mins,2134
28,59,32.6 mi,2529,42 mins,2529
28,60,13.2 mi,1916,32 mins,1916
28,61,14.7 mi,1742,29 mins,1742
28,62,10.1 mi,1215,20 mins,1215
28,63,9.0 mi,1797,30 mins,1797
28,64,9.7 mi,1292,22 mins,1292
28,65,15.7 mi,1846,31 mins,1846
28,66,11.2 mi,1376,23 mins,1376
28,67,18.6 mi,2028,34 mins,2028
28,68,1.3 mi,483,8 mins,483
28,69,15.6 mi,1717,29 mins,1717
28,70,13.5 mi,2230,37 mins,2230
28,71,7.4 mi,1441,24 mins,1441
28,72,3.9 mi,861,14 mins,861
28,73,14.1 mi,1504,25 mins,1504
28,74,5.7 mi,1110,19 mins,1110
28,75,13.8 mi,1618,27 mins,1618
28,76,10.3 mi,2183,36 mins,2183
28,77,7.5 mi,1490,25 mins,1490
28,78,9.6 mi,1087,18 mins,1087
28,79,15.3 mi,1693,28 mins,1693
28,80,7.6 mi,1631,27 mins,1631
28,81,9.5 mi,1219,20 mins,1219
28,82,18.1 mi,2253,38 mins,2253
28,83,14.7 mi,1738,29 mins,1738
28,84,7.7 mi,1511,25 mins,1511
28,85,13.2 mi,1594,27 mins,1594
28,86,18.6 mi,2045,34 mins,2045
28,87,16.7 mi,2380,40 mins,2380
28,88,5.8 mi,1184,20 mins,1184
28,89,25.1 mi,2141,36 mins,2141
28,90,9.3 mi,1148,19 mins,1148
28,91,15.6 mi,1728,29 mins,1728
28,92,18.0 mi,2002,33 mins,2002
28,93,3.2 mi,777,13 mins,777
28,94,7.4 mi,1298,22 mins,1298
28,95,12.8 mi,1774,30 mins,1774
28,96,12.6 mi,1574,26 mins,1574
28,97,13.4 mi,1911,32 mins,1911
28,98,18.1 mi,1701,28 mins,1701
28,99,10.1 mi,1370,23 mins,1370
28,100,19.7 mi,2202,37 mins,2202
28,101,12.5 mi,1773,30 mins,1773
28,102,8.5 mi,1806,30 mins,1806
28,103,17.4 mi,2084,35 mins,2084
28,104,13.6 mi,2112,35 mins,2112
28,105,8.5 mi,1718,29 mins,1718
28,106,6.8 mi,1153,19 mins,1153
28,107,18.6 mi,1925,32 mins,1925
28,108,11.6 mi,1491,25 mins,1491
28,109,21.6 mi,2384,40 mins,2384
28,110,13.4 mi,2139,36 mins,2139
29,1,16.4 mi,2268,38 mins,2268
29,2,10.6 mi,1632,27 mins,1632
29,3,15.9 mi,2488,41 mins,2488
29,4,18.2 mi,2001,33 mins,2001
29,5,16.3 mi,2022,34 mins,2022
29,6,14.5 mi,2294,38 mins,2294
29,7,11.8 mi,1699,28 mins,1699
29,8,13.7 mi,2003,33 mins,2003
29,9,15.8 mi,1825,30 mins,1825
29,10,15.9 mi,2137,36 mins,2137
29,11,40.6 mi,3312,55 mins,3312
29,12,13.5 mi,1903,32 mins,1903
29,13,12.5 mi,2226,37 mins,2226
29,14,7.9 mi,1545,26 mins,1545
29,15,22.1 mi,2404,40 mins,2404
29,16,13.8 mi,1830,31 mins,1830
29,17,9.7 mi,1275,21 mins,1275
29,18,15.0 mi,1842,31 mins,1842
29,19,13.9 mi,1644,27 mins,1644
29,20,11.4 mi,1593,27 mins,1593
29,21,17.7 mi,2157,36 mins,2157
29,22,3.4 mi,958,16 mins,958
29,23,15.7 mi,1977,33 mins,1977
29,24,15.6 mi,2236,37 mins,2236
29,25,5.7 mi,1586,26 mins,1586
29,26,11.0 mi,1517,25 mins,1517
29,27,5.6 mi,1353,23 mins,1353
29,28,13.9 mi,1731,29 mins,1731
29,29,17.9 mi,2018,34 mins,2018
29,30,6.6 mi,1763,29 mins,1763
29,31,1.5 mi,439,7 mins,439
29,32,21.8 mi,2296,38 mins,2296
29,33,7.1 mi,1829,30 mins,1829
29,34,15.1 mi,1813,30 mins,1813
29,35,6.7 mi,1755,29 mins,1755
29,36,14.6 mi,1861,31 mins,1861
29,37,26.7 mi,2533,42 mins,2533
29,38,6.3 mi,1733,29 mins,1733
29,39,9.1 mi,2567,43 mins,2567
29,40,6.5 mi,1225,20 mins,1225
29,41,16.3 mi,1798,30 mins,1798
29,42,3.9 mi,1330,22 mins,1330
29,43,15.7 mi,1760,29 mins,1760
29,44,14.4 mi,2238,37 mins,2238
29,45,8.4 mi,2285,38 mins,2285
29,46,15.6 mi,2491,42 mins,2491
29,47,16.8 mi,2364,39 mins,2364
29,48,18.9 mi,2255,38 mins,2255
29,49,11.4 mi,1594,27 mins,1594
29,50,10.1 mi,1323,22 mins,1323
29,51,12.1 mi,1703,28 mins,1703
29,52,15.4 mi,1917,32 mins,1917
29,53,11.4 mi,1733,29 mins,1733
